index_id,asof_date,symbol,source_symbol,source_order,company_name,sector,listing_exchange,source_url,source_revision_timestamp,source_note
sp500,2018-01-02,A,A,1,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AAL,AAL,2,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AAP,AAP,3,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AAPL,AAPL,4,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,ABBV,ABBV,5,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,ABC,ABC,6,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,ABT,ABT,7,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,ACN,ACN,8,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,ADBE,ADBE,9,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,ADI,ADI,10,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,ADM,ADM,11,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,ADP,ADP,12,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,ADS,ADS,13,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,ADSK,ADSK,14,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AEE,AEE,15,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AEP,AEP,16,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AES,AES,17,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AET,AET,18,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AFL,AFL,19,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AGN,AGN,20,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AIG,AIG,21,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AIV,AIV,22,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AIZ,AIZ,23,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AJG,AJG,24,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
sp500,2018-01-02,AKAM,AKAM,25,,,,user_provided,,"User-provided S&P 500 start list recorded on 2026-06-03; unverified public/pilot anchor, not final Bloomberg membership."
