target_symbol,source_symbol,effective_from,effective_to,mapping_type,headline_allowed,scale_factor,source,note
LIN,PX,2018-10-31,2019-12-31,ticker_continuity,true,1.0,licensed_membership_boundary,"Praxair traded as PX before the Linde LIN TAQ ticker boundary."
CPRI,KORS,2019-01-02,2019-12-31,ticker_continuity,true,1.0,licensed_membership_boundary,"Michael Kors changed ticker/name to Capri Holdings."
LHX,HRS,2019-07-01,2019-12-31,ticker_continuity,true,1.0,licensed_membership_boundary,"Harris/L3Harris continuity mapping."
BKR,BHGE,2019-10-18,2019-12-31,ticker_continuity,true,1.0,licensed_membership_boundary,"Baker Hughes successor ticker after BHGE to BKR boundary."
NLOK,SYMC,2019-11-05,2019-12-31,ticker_continuity,true,1.0,licensed_membership_boundary,"Symantec traded as SYMC before the NortonLifeLock ticker boundary."
PEAK,HCP,2019-11-05,2019-12-31,ticker_continuity,true,1.0,licensed_membership_boundary,"Healthpeak traded as HCP before the PEAK ticker boundary."
VIAC,CBS,2019-12-05,2019-12-31,ticker_continuity,true,1.0,licensed_membership_boundary,"CBS/ViacomCBS continuity mapping."
TFC,BBT,2019-12-09,2019-12-31,ticker_continuity,true,1.0,licensed_membership_boundary,"BB&T/Truist continuity mapping."
J,JEC,2019-12-10,2019-12-31,ticker_continuity,true,1.0,licensed_membership_boundary,"Jacobs traded as JEC before the J ticker boundary."
DD,DWDP,2019-06-03,2019-12-31,ambiguous_spin_or_split,false,1.0,sp500_ticker_events_2018_2019,"DowDuPont/DuPont split history requires verified scaling before headline backfill."
AMCR,BMS,2019-06-11,2019-12-31,ambiguous_replacement,false,1.0,sp500_ticker_events_2018_2019,"Bemis/Amcor transition requires verified scaling before headline backfill."
DOW,,2019-04-02,2019-12-31,no_headline_backfill,false,1.0,licensed_membership_boundary,"Dow spin-off/new listing. Do not use unscaled predecessor history in headline."
CTVA,,2019-06-03,2019-12-31,no_headline_backfill,false,1.0,licensed_membership_boundary,"Corteva spin-off/new listing. Do not use unscaled predecessor history in headline."
GTX,,2018-10-01,2018-10-01,no_headline_backfill,false,1.0,licensed_membership_boundary,"Garrett Motion spin-off/new listing. No conservative headline backfill."
REZI,,2018-10-29,2018-10-29,no_headline_backfill,false,1.0,licensed_membership_boundary,"Resideo spin-off/new listing. No conservative headline backfill."
CVET,,2019-02-08,2019-02-10,no_headline_backfill,false,1.0,licensed_membership_boundary,"Covetrus new S&P constituent interval. No conservative headline backfill."
KTB,,2019-05-23,2019-05-23,no_headline_backfill,false,1.0,licensed_membership_boundary,"Kontoor spin-off/new listing. No conservative headline backfill."
